Time_s,Sensor2_EMG1,Sensor1_EMG1,Sensor6_EMG1,Sensor13_EMG1,Sensor3_EMG1,Sensor4_EMG1,Sensor5_EMG1,Sensor7_EMG1,Sensor8_EMG1,Sensor9_EMG1,Sensor10_EMG1,Sensor11_EMG1,Sensor12_EMG1,Sensor14_EMG1
0.39888535,0.047764134,0.042842454,0.100967476,0.023883091,0.048633736,0.032303302,0.022080975,0.039086021,0.113287307,0.049263899,0.03021131,0.100292174,0.096120525,0.030645393
0.414808917,0.049305118,0.042143547,0.100845783,0.023679867,0.049886892,0.032174554,0.021982636,0.038469731,0.114623247,0.051515005,0.030505957,0.099680664,0.094804515,0.030437989
0.430732484,0.0506959,0.042253544,0.089604205,0.02274505,0.050653817,0.031327654,0.021912191,0.035149852,0.116244476,0.054586612,0.030788602,0.099230635,0.09170466,0.031229898
0.446656051,0.058366945,0.042376413,0.088586982,0.022010617,0.057116075,0.029287187,0.021843444,0.034153429,0.11954629,0.05930998,0.0336647,0.098847412,0.090508467,0.030987251
0.462579618,0.066355226,0.042516915,0.087372437,0.020763249,0.065316589,0.029572504,0.02175941,0.028933116,0.129693437,0.066801632,0.03546099,0.100120939,0.08888472,0.029733982
0.478503185,0.067771116,0.042313176,0.086550754,0.020089381,0.066190419,0.028978491,0.020985092,0.028212491,0.127140971,0.068250003,0.037122453,0.10047419,0.084001542,0.026652315
0.494426752,0.069714695,0.042139264,0.085164183,0.018714398,0.075619711,0.029004333,0.021054282,0.026624384,0.128566421,0.075096874,0.03812347,0.100496821,0.081808476,0.029430419
0.510350318,0.07357599,0.042309627,0.082980711,0.018565604,0.083420785,0.029158808,0.022384848,0.026325292,0.132416223,0.078808855,0.039735731,0.100905398,0.08120939,0.038880909
0.526273885,0.085989677,0.042534408,0.077767519,0.016139333,0.091328775,0.029075247,0.02460546,0.023067813,0.136526672,0.089418666,0.041264837,0.103810754,0.076211966,0.037115485
0.542197452,0.088087275,0.042673795,0.077599141,0.015168917,0.093944738,0.029258232,0.040292302,0.021415945,0.137622743,0.09208505,0.041372784,0.105619713,0.074741925,0.037953886
0.558121019,0.08987028,0.042814443,0.077487838,0.014177501,0.094973401,0.029715112,0.08765755,0.022784472,0.143761426,0.095032728,0.041932949,0.106249516,0.075170399,0.047287254
0.574044586,0.094497811,0.042257112,0.07333032,0.013678742,0.099119361,0.029703232,0.095387662,0.022656602,0.145256801,0.099715808,0.040568039,0.106504422,0.074293958,0.048887624
0.589968153,0.103862751,0.041739366,0.072794755,0.01358925,0.102651478,0.027972422,0.096711825,0.023062222,0.144630321,0.104705682,0.041395959,0.114290191,0.073662651,0.052165663
0.60589172,0.109444189,0.04188618,0.059797486,0.013372744,0.108771065,0.027932836,0.096850171,0.023363865,0.148007942,0.105856455,0.042392525,0.115061477,0.069821758,0.052597268
0.621815287,0.109729113,0.041909804,0.060008242,0.012711417,0.109507741,0.027421215,0.096989585,0.023712415,0.146974665,0.106889344,0.041857877,0.114009763,0.066814754,0.052818236
0.637738854,0.110227391,0.043497346,0.058772007,0.01128768,0.109912264,0.027295712,0.096936819,0.023658986,0.149722099,0.107301179,0.042083116,0.112769927,0.065465414,0.053118214
0.65366242,0.111692805,0.049017252,0.05708426,0.00921073,0.110250954,0.027055718,0.096917878,0.022361483,0.151486159,0.107860551,0.042233056,0.110878772,0.063416543,0.053339442
0.669585987,0.11175822,0.050603911,0.056640637,0.00895698,0.110303908,0.026880326,0.096900731,0.020414489,0.152851447,0.108003637,0.042265167,0.110102607,0.061971308,0.053205932
0.685509554,0.111729499,0.053099929,0.055319996,0.008955346,0.110452564,0.026555197,0.096907003,0.020480027,0.154239113,0.108207902,0.042302686,0.109819536,0.061358051,0.053203639
0.701433121,0.111494453,0.059256816,0.055937612,0.00866657,0.110082491,0.027373264,0.096903875,0.020484219,0.152975607,0.108254082,0.042300237,0.109852371,0.058296297,0.053133475
0.717356688,0.111459072,0.061464565,0.03827846,0.008152111,0.110101421,0.027976356,0.096830514,0.02044683,0.152558318,0.108260838,0.04284754,0.10870493,0.051037421,0.053036875
0.733280255,0.111332885,0.06170827,0.037822088,0.009608953,0.110325776,0.029265135,0.096485419,0.020438546,0.152894976,0.108274109,0.046926184,0.1065136,0.054316089,0.052978082
0.749203822,0.111387637,0.064664971,0.037843229,0.014296687,0.11033504,0.029201864,0.096347212,0.020375591,0.154166386,0.108277138,0.046951439,0.104870731,0.057718631,0.052922167
0.765127389,0.111385232,0.065305265,0.037714234,0.015338286,0.110348434,0.030512588,0.096337307,0.020327817,0.154261039,0.108276895,0.047493996,0.104893329,0.057768394,0.052784926
0.781050955,0.111446219,0.06533671,0.037934189,0.022352155,0.110927976,0.035475484,0.0963355,0.020222404,0.153268723,0.108298404,0.050137908,0.107332874,0.058695767,0.052703059
0.796974522,0.111663865,0.066232041,0.037987225,0.024587977,0.111722105,0.04981628,0.096330447,0.020268538,0.152274349,0.108306686,0.051269077,0.109298837,0.058792357,0.052711168
0.812898089,0.111544967,0.066202445,0.038104644,0.02487205,0.112141599,0.060452709,0.096311512,0.020316806,0.151838959,0.108309334,0.053653315,0.110929969,0.059372665,0.052721428
0.828821656,0.112098521,0.066037434,0.038654955,0.026605124,0.112327532,0.061336759,0.096161174,0.020773138,0.151664153,0.108306822,0.05387749,0.112143918,0.059356339,0.052877089
0.844745223,0.112095007,0.065901457,0.039825896,0.029749612,0.112427582,0.063051237,0.096089103,0.025075536,0.150302366,0.108305055,0.053964337,0.112352545,0.060276609,0.053294305
0.86066879,0.11210253,0.065917437,0.046927079,0.042395617,0.112706429,0.065112821,0.096171981,0.041747849,0.150434127,0.108313004,0.054468128,0.114028741,0.063118499,0.053990901
0.876592357,0.112192466,0.066206038,0.047841578,0.04459369,0.113012255,0.077032879,0.097938683,0.044093703,0.150154089,0.10832644,0.058912915,0.115256441,0.064188842,0.054143956
0.892515924,0.112274035,0.066910908,0.049771618,0.045678777,0.113131743,0.080180168,0.099599246,0.049689509,0.150232611,0.108327556,0.060371342,0.115750131,0.06398188,0.055925124
0.90843949,0.112264587,0.066332884,0.051209605,0.046306022,0.113203015,0.081270758,0.099961265,0.050794085,0.151048651,0.108321786,0.060449554,0.11199109,0.064057619,0.055992104
0.924363057,0.11223681,0.066367914,0.052188797,0.048305323,0.113146212,0.081488732,0.099815139,0.050927157,0.151283257,0.108301435,0.060766696,0.109142041,0.06446388,0.05611926
0.940286624,0.112230929,0.06632034,0.055339351,0.04882415,0.113176495,0.082387598,0.099635675,0.053428744,0.1512795,0.108303446,0.062269234,0.109037062,0.067974957,0.056589049
0.956210191,0.112261691,0.066387254,0.056311999,0.049669061,0.113726902,0.084459349,0.099636498,0.054229254,0.151546844,0.108293737,0.064992399,0.110726515,0.068217545,0.056960392
0.972133758,0.11257849,0.066783893,0.057120039,0.054681978,0.113803184,0.089989041,0.099644562,0.05685236,0.152119486,0.108295327,0.066276085,0.112259173,0.069266642,0.057434263
0.988057325,0.112168741,0.067700776,0.057970083,0.056203022,0.113476051,0.091162289,0.099601795,0.059450833,0.152631331,0.10805269,0.066788539,0.109712328,0.068467637,0.058427854
1.003980892,0.112087533,0.067643601,0.060533158,0.057655787,0.113281749,0.093268035,0.099610231,0.06060409,0.15281952,0.107952744,0.06695812,0.110857624,0.069209695,0.058898031
1.019904459,0.111679214,0.067460266,0.060845153,0.058242393,0.112651484,0.093688271,0.099597296,0.061732755,0.152618902,0.107140597,0.067692587,0.111836717,0.069567432,0.059146822
1.035828025,0.11173199,0.068287524,0.06153781,0.063371318,0.112570365,0.096062931,0.099607732,0.064624416,0.152294625,0.107096302,0.068125335,0.109598079,0.07095726,0.059231348
1.051751592,0.111693229,0.068457639,0.062079671,0.067957329,0.11248599,0.096329197,0.099615317,0.065087222,0.151473895,0.106197139,0.070663672,0.109891183,0.073778204,0.059273279
1.067675159,0.111617771,0.068666362,0.062844997,0.068823326,0.112112914,0.099158416,0.099625058,0.066330459,0.151081507,0.105977344,0.070748564,0.109383377,0.074138211,0.059780893
1.083598726,0.111794972,0.06907188,0.063454822,0.069761367,0.112057474,0.100272101,0.099627802,0.068590129,0.15581668,0.105843088,0.070807388,0.11044894,0.074452972,0.0609385
1.099522293,0.111769273,0.069286062,0.064092989,0.070499425,0.11218852,0.111332265,0.099646221,0.069101314,0.155784241,0.105838764,0.071294585,0.11178854,0.075092052,0.061689947
1.11544586,0.110323693,0.069284773,0.064219632,0.070882056,0.110813958,0.112961439,0.099645582,0.070351001,0.155324686,0.103468154,0.071660778,0.112069177,0.075524376,0.062262998
1.131369427,0.109643304,0.069632873,0.065032547,0.07098367,0.108786998,0.113389655,0.099646406,0.071242799,0.153937985,0.100596644,0.07176487,0.112873987,0.075481716,0.062785885
1.147292994,0.109469159,0.069676875,0.065820339,0.07334461,0.108475701,0.114751939,0.099656193,0.072580143,0.153543201,0.100498285,0.071976751,0.113538267,0.076225064,0.063808857
1.163216561,0.107570421,0.069609282,0.066690291,0.073992811,0.107463555,0.115774357,0.09965904,0.0729209,0.153084476,0.099302339,0.072594885,0.115685315,0.078109268,0.066102423
1.179140127,0.106891303,0.069872548,0.067191599,0.075322857,0.106772001,0.117839123,0.09969212,0.074609892,0.155597054,0.096882245,0.072537665,0.115015296,0.080758389,0.066500806
1.195063694,0.106559814,0.070132827,0.068007379,0.075990653,0.106314273,0.120362233,0.099702527,0.075390229,0.15445829,0.096696142,0.072831139,0.116038824,0.081235203,0.066573959
1.210987261,0.105809816,0.070102066,0.068976745,0.078204466,0.105818308,0.122614937,0.099751531,0.077033163,0.153293318,0.095535648,0.074241278,0.119259869,0.083120576,0.070735416
1.226910828,0.105300074,0.070107733,0.069411473,0.080069041,0.106191614,0.124378215,0.099806753,0.077698679,0.152180332,0.093801103,0.074883952,0.121556303,0.086198792,0.071383568
1.242834395,0.101735428,0.070356248,0.070145292,0.080471639,0.102973994,0.125348367,0.099813724,0.077662913,0.149291841,0.090927301,0.073723231,0.122994818,0.086183751,0.071152959
1.258757962,0.096152778,0.070238319,0.070677527,0.081497095,0.097897821,0.128239186,0.099810614,0.07846917,0.139918575,0.085584309,0.073616112,0.12584308,0.087266804,0.071833151
1.274681529,0.095271776,0.070228876,0.071573367,0.081880316,0.097299032,0.128546042,0.099850091,0.081199792,0.139545227,0.0844878,0.074610847,0.125588865,0.087514716,0.072022746
1.290605096,0.093510894,0.070389801,0.072140813,0.082815204,0.090874968,0.131403635,0.099833137,0.082238257,0.138320877,0.079066557,0.075464432,0.126496918,0.089711175,0.0713582
1.306528662,0.091051848,0.070337487,0.072578819,0.084503037,0.083731192,0.134236433,0.099594229,0.08427179,0.136300147,0.074631663,0.075145814,0.128912051,0.092593127,0.068540698
1.322452229,0.0790379,0.070730481,0.074177181,0.087631456,0.075214897,0.136226762,0.099090309,0.087403307,0.132787476,0.061940245,0.076218503,0.127581072,0.095017764,0.068962587
1.338375796,0.076772855,0.070889515,0.074127582,0.08779691,0.072099061,0.137572557,0.094177237,0.087663968,0.131758495,0.057537545,0.076801428,0.126300392,0.095013113,0.068831381
1.354299363,0.075161465,0.070748852,0.07441962,0.08901867,0.071232044,0.13876119,0.052955343,0.088300669,0.124645964,0.052488032,0.076973251,0.126471909,0.094109044,0.063265484
1.37022293,0.070925275,0.070713781,0.075276378,0.094604704,0.06629101,0.139668833,0.036190557,0.089301379,0.123616314,0.043758856,0.076882338,0.126855255,0.095982654,0.06266064
1.386146497,0.053613127,0.070647553,0.077573224,0.095206656,0.059815572,0.139809297,0.03284456,0.090669388,0.118855704,0.030276714,0.077945577,0.122641313,0.096153927,0.061399998
1.402070064,0.04138832,0.070526462,0.076427161,0.096061013,0.051232799,0.14111307,0.032069091,0.092277062,0.116115948,0.024072586,0.078083325,0.122339116,0.096056117,0.061665545
1.417993631,0.040152237,0.070498478,0.076575341,0.097364081,0.047215175,0.143183023,0.031722343,0.09418363,0.116156463,0.01949457,0.079038697,0.124807531,0.096933729,0.062600801
1.433917197,0.039122263,0.071474128,0.076872786,0.098949167,0.046347929,0.143471123,0.03171232,0.094625066,0.114606261,0.016437113,0.078992689,0.125034125,0.097189508,0.066998645
1.449840764,0.035451826,0.068595442,0.076979198,0.099790969,0.045886973,0.144044708,0.031699015,0.095302678,0.116902651,0.012294833,0.079699208,0.125945397,0.097255215,0.067317405
1.465764331,0.035040573,0.066860129,0.077451285,0.101744144,0.045787066,0.144503332,0.031700575,0.0965145,0.115514147,0.010965979,0.080339021,0.127173862,0.098211033,0.067783291
1.481687898,0.034992722,0.064658889,0.077829035,0.102022395,0.046030068,0.14545539,0.031710282,0.097175687,0.114161441,0.008680193,0.080968804,0.131589995,0.097967723,0.068160556
1.497611465,0.034646572,0.057715498,0.078282677,0.102363518,0.046307136,0.145601193,0.031870963,0.099078786,0.11034285,0.008077137,0.080850632,0.131619598,0.09797679,0.06997407
1.513535032,0.034449339,0.053943337,0.078667249,0.102628383,0.046369186,0.145550881,0.031917228,0.099409836,0.108084498,0.008369438,0.081009063,0.131671386,0.098213318,0.070509713
1.529458599,0.035000356,0.052323015,0.078875199,0.102941955,0.046179358,0.145746855,0.03198714,0.099579388,0.107749902,0.008230048,0.079507009,0.131077988,0.096503697,0.07050999
1.545382166,0.035124176,0.048722307,0.079010341,0.102617993,0.046284285,0.145902598,0.032006363,0.099661893,0.105956037,0.008267423,0.080180825,0.131168008,0.094430672,0.07057119
